,n,SortedItems_Sim,SamplePaths,timeTaken,SortedItems_Th
0,2,12438.49,100,361.28469491004944,12666.666666666666
1,4,15202.48,100,444.04384303092957,15600.0
2,5,15897.1,100,444.64863204956055,16333.333333333332
3,8,17033.63,100,540.7967851161957,17555.555555555555
4,10,17444.56,100,579.6484410762787,18000.0
5,16,18120.04,100,805.9043691158295,18705.882352941175
6,20,18350.16,100,873.8816819190979,18952.38095238095
